job_title,company_name,company_location,work_method,post_date,work_time,job_desc
Insurance Benefits Advisor,Association Member Benefits Advisors (AMBA),"West Valley City, UT",On-site,1 week ago,Full-time · Entry level,"About the job
Description

Position at Association Member Benefits Advisors

About Our Company

Association Member Benefits Advisors (AMBA) is a national full-service insurance agency that provides much-needed insurance coverage to retired and active educators, police, firefighters, and state, city, and municipal workers. Our insurance agents help some of our most selfless servants secure the retirement they deserve. We work to protect the financial well-being of retirees while preserving the quality of life for them and the people they love.

Over 75 state associations across 39 states exclusively endorse AMBA to provide benefits to their members . In Utah, we are endorsed by the Utah Retired School Employees Association.

Why Partner With AMBA
Through our exclusive endorsements, we gain direct access to their members, and our in-house Marketing team generates thousands of qualified leads that we provide to our agents at no cost.
Every advisor has their own aspirations, and you can achieve them here at AMBA with our proven systems and processes.
An entrepreneurial opportunity with back-end resources, technology, and training at no cost to you.
Your Day To Day
Since we generate the leads (at no cost), you spend your time where your passion is — meeting with prospective clients. You can meet with them one-on-one over the phone; Zoom; in-person; conducting in-school workshops, presenting seminars, and educate members at the association chapter meetings.
Use a consultative approach to sell needs-based products to public service employees and help them choose benefits to secure their financial future.
You create your schedule. The role is flexible but full-time and fluctuates based on your goals. We ask that you show up every Monday, focused and ready to commit to your plan and set your appointments.
Throughout the week, we expect you to actively engage so that we can best support you in reaching your goals and engaging in our comprehensive ongoing training, which sets you up for continued success.
We Encourage You To Apply If You Have
No prior insurance experience is required. We provide extensive training.
Entrepreneurial spirit, results-oriented, self-starters.
Motivated, optimistic team builders with exceptional interpersonal skills.
A commitment to excellence in all that you do.
A customer-service-oriented mindset.
A Life and Health license is required to onboard. No license? No problem. We can help you acquire one.
Perks & Comp
Comp is performance-based. We offer advanced commissions and residual income with lifetime vesting.
No commission cap. Avg 1st Year Earnings - $75k to $90k or 1st Year Top Producers $125k+.
Rapidly growing company with room for advancement. We promote from within.
Monthly cash bonuses, sales incentives, and awards. Yearly incentives include trips to places like New York; Maui; Adare, Ireland; Canada; New Zealand, and Mexico.
Comprehensive onboarding, and initial and ongoing training.
Paired with a Regional Business Consultant to lend additional support (in addition to your manager)."
"Senior Manager, FP&A",Epic Games,"Cary, NC",On-site,1 week ago,Full-time · Mid-Senior level,"About the job
WHAT MAKES US EPIC?

At the core of Epic’s success are talented, passionate people. Epic prides itself on creating a collaborative, welcoming, and creative environment. Whether it’s building award-winning games or crafting engine technology that enables others to make visually stunning interactive experiences, we’re always innovating.

Being Epic means being a part of a team that continually strives to do right by our community and users. We’re constantly innovating to raise the bar of engine and game development.

FINANCE

What We Do

Our Finance teams work closely with business leaders and teams across Epic, to deliver effective business and financial planning for our company. We combine analytical and strategic thinking to develop a sound financial future for our global brand.

What You'll Do

The FP&A team is responsible for managing the financial forecast. As part of that responsibility, the FP&A team will work closely with business units and functional teams to establish investment plans for both the near- and long-term.

In this role, you will

Oversee quarterly forecast and long-range planning cycles, including ownership of Epic’s consolidated corporate model and coordination with stakeholders on key assumptions and inputs
Partner with business leaders to establish investment plans, prioritize resources and communicate regularly to the CFO and other senior leaders to provide financial insights, direction and risk
Assess cost structures and investments through internal and external benchmarking
Provide visibility to financial performance of the company through continuous and consistent reporting including key drivers of change in the financial forecast
Leverage financial modeling to assess the opportunity and profitability of key business initiatives while ensuring accuracy in reporting

What We're Looking For

10+ years of experience in FP&A, investment banking, private equity or consulting
Experience collaborating with business unit executives to drive forecasting, initiative planning and execution
Strong analytical skills with extensive financial modeling experience and ability to work with large data sets
Ability to distill complex analyses into insights that drive action
Ability to effectively build relationships with internal and external partners
Experience in technology; prior understanding of gaming, entertainment and/or software desired

EPIC JOB + EPIC BENEFITS = EPIC LIFE

Our intent is to cover all things that are medically necessary and improve the quality of life. We pay 100% of the premiums for both you and your dependents. Our coverage includes Medical, Dental, a Vision HRA, Long Term Disability, Life Insurance & a 401k with competitive match. We also offer a robust mental well-being program through Modern Health, which provides free therapy and coaching for employees & dependents.

Throughout the year we celebrate our employees with events and company-wide paid breaks. We offer unlimited PTO and sick time and recognize individuals for 7 years of employment with a paid sabbatical.

About Us

Epic Games spans across 19 countries with 55 studios and 4,500+ employees globally. For over 25 years, we’ve been making award-winning games and engine technology that empowers others to make visually stunning games and 3D content that bring environments to life like never before. Epic’s award-winning Unreal Engine technology not only provides game developers the ability to build high-fidelity, interactive experiences for PC, console, mobile, and VR, it is also a tool being embraced by content creators across a variety of industries such as media and entertainment, automotive, and architectural design. As we continue to build our Engine technology and develop remarkable games, we strive to build teams of world-class talent.

Like what you hear? Come be a part of something Epic!

Epic Games deeply values diverse teams and an inclusive work culture, and we are proud to be an Equal Opportunity employer. Learn more about our Equal Employment Opportunity (EEO) Policy here.

Note to Recruitment Agencies: Epic does not accept any unsolicited resumes or approaches from any unauthorized third party (including recruitment or placement agencies) (i.e., a third party with whom we do not have a negotiated and validly executed agreement). We will not pay any fees to any unauthorized third party. Further details on these matters can be found here."
Structural Engineer,Flux Resources,"Columbus, OH",On-site,36 minutes ago,Full-time · Entry level,"About the job
Responsibilities

Seeking a structural engineer to join our Automotive, Manufacturing, and Facilities Structural team. Candidates will work on industrial projects involving building structures and structures associated with support and access for manufacturing equipment.

Prepare hand calculations and/or utilize computer analysis and design software to design steel, concrete and masonry structures.
Collect information and project requirements from all available sources for incorporation into project design.
Coordinate location of structural members in relation to other project components.
Identify physical interference issues and coordinate with other team members for acceptable resolutions.
Review project submittals.
Review and prepare responses to RFIs.
May be required to visit the project site to verify existing field conditions and provide on-site support.
May travel to other facilities for coordination purposes.

Qualifications

Bachelor’s Degree in Civil or Structural Engineering with PE/SE registration is required.
Experience with analysis and design of structural steel and concrete structures utilizing structural analysis design software.
Ability to utilize and leverage Revit, AutoCAD and Navisworks software.
Ability to organize project deliverables to clearly show the intent and requirements of the project.
Knowledge of the IBC, AISC and ACI standards and specifications, as well as other related industry standards, specifications and guidelines.
Ability to work well with other team members in the same office or remote locations.
Excellent organizational and communication skills.
Valid driver's license is required. May be waived for international assignments."
National Account Manager,Cogent Communications,"New York, NY",Hybrid,4 weeks ago,Full-time · Entry level,"About the job
Company:

Cogent Communications is a global, Tier 1 facilities-based ISP, consistently ranked as one of the top five networks in the world, and is publicly traded on the NASDAQ Stock Market under the ticker symbol CCOI. Cogent specializes in providing businesses with high-speed internet access and Ethernet transport services. Cogent's facilities-based, all-optical IP network backbone provides IP services in over 180 markets globally. Since its inception, Cogent has unleashed the benefits of IP technology, building one of the largest and highest-capacity IP networks in the world. This network enables Cogent to offer large bandwidth connections at highly competitive prices. Cogent also offers superior customer support by virtue of its end-to-end control of service delivery and network monitoring. Cogent offers a full benefits package including; Health, Dental, Vision, Paid Time Off ( PTO), Short and Long Term Disability, Life Insurance, Holidays, Parental Leave, 401 ( k) plan with employer match, stock options, and an Employee Assistance Program. Most benefits take effect within 30 days of employment, and some require a waiting period.

Compensation:

Pay Range: $40,000 - $80,000

Commission: Unlimited

Additional Compensation Potential: Account Managers have an achievable upside opportunity to grow base pay by up to $25,000 - $35,000 based on performance. Our recruiting team will tell you how!

Responsibilities:

Hunting to Identify new business opportunities within National Sales Territory focused on the Mid Market and non-named National Account target market segments ( up to 500 – 999 employees)
Through direct calling, email, and other contact efforts you will identify, qualify and generate these new business opportunities by working directly with Key Decision Makers
Compliment prospecting and selling efforts through field work such as building walks, lobby events, property management relationships, and customer face-to-facemeetings
Leverage consultative and relationship-building selling techniques you will identify current and future connectivity solutions
Help Cogent customers and prospects by positioning our services for new business
Achieve monthly revenue goals by selling into the nation's largest commercial and retail buildings; office parks and professional campuses

Qualifications:

2-5 years of solid, sales experience, preferably B2B and in the technology field
Previous sales experience ( recent experience strongly preferred) with a track record of success is required
You must be able to demonstrate your ability to identify, qualify and generate new business through extensive prospecting and research
Strong oral and written communication is required
Ability to work in a fast-paced team environment with revenue deadlines
Working knowledge of computer applications such as Microsoft Office and a CRM is a plus
A college degree is preferred but not required
If this sounds like you apply today!

Work Environment:

To best support your success, this is an in-office position five days a week, allowing for focused mentorship, training, and personal coaching.

COVID-19 Policy:

Cogent has adopted a mandatory vaccination and booster policy that requires all U.S. employees to be fully vaccinated ( including booster shots when eligible) against COVID-19. Beforebeginning employment, new employees must provide proof of vaccination or apply for and receive an accommodation to be exempt from the policy.

By submitting an application or resume for this position, I understand that is an in-office position and agree to abide Cogent’s mandatory vaccination policy.

“Cogent’s competitive advantage lies in our people...their spirit, their energy, and their commitment.”

Dave Schaeffer, Founder & CEO

Cogent Communications is an Equal Opportunity Employer."
Case Manager- West Coast,The Providencia Group,United States,On-site,2 weeks ago,Full-time · Entry level,"About the job
This position is part-time on-call (PTOC) working on an as needed basis.

About Us

The Providencia Group is led by a purpose: to address global challenges and make an impact that matters through delivering transformative solutions. This purpose defines who we are and extends to our relationships with our clients, our people, and our communities. We combine purpose, innovation, and experience to deliver impactful results.

About The Team

We are problem solvers working with leading agencies and organizations to help them address many of today’s most complex challenges. Our world-class team of technologists, program managers, and subject matter experts is uniquely qualified to address ever-evolving, large-scale challenges. In an imperfect world, The Providencia Group puts capability and purpose into action.

What you’ll be part of – TPG Culture

At TPG, we proudly measure our success by the impact we have on the lives of vulnerable and underserved populations around the world. We are innovators and problem solvers who take great pride in partnering with government agencies, service organizations, and external stakeholder groups to address many of today’s most complex challenges. Our workforce is diverse in culture, language, and experience yet it shares a common sense of purpose and empathy for those in need of help. Our people are personally invested in the missions we support, and we reward their commitment by investing in their development, advancement, and growth. If you like what we stand for, you’ll appreciate the professionalism and dedication of those you stand beside every day.

Together, we actively imagine a better future, innovate new ways to make it a reality, and implement solutions that deliver a lasting impact.

About The Role – Who You’ll Work

Our Case Manager/Unification Specialists will work closely with the Program Director, Case/Unification Manager, Clinical Services, potential sponsors, other workers/staff, or stakeholders as applicable and in collaboration with the U.S. Department of Health & Human Services (HHS), Office of Refugee Resettlement’s (ORR) Unaccompanied Children Program and its care providers, and any additional clients and programs TPG supports.

What You’ll Do

Initiate, coordinate, and maintain direct contact with unaccompanied child refugees and their family members while the minor is in ORR care, while efficiently working to safely release the minor from client care and reunify the child with its family
In conjunction with program staff, communicate reunification updates to the minor
Participate in case staffing with the program and field as needed to discuss reunification progress
Facilitate the timely release or discharge of minors to identified family members or authorized caregiver/custodians and document the provision of services in each minor’s case file
Report significant incidents in accordance with client policies and procedures
Maintain the minor’s case file and case management portal in accordance with client policies and procedures
Conduct initial program intake of minors to verify information, identify family/sponsors and make initial contact
Act as the facilitator of communication between minors, sponsors, staff, and others as appropriate
Complete all assessments with minor and family/sponsors, in accordance with policies and procedures
Identify and process potential sponsors
Help sponsor to complete all required forms and submit documentation.
Maintain communication with the minor and their family/sponsors through meetings and phone calls
Refer minor for additional services or programs, as needed, within the current program and after release, including documenting/reporting serious incidents through required communication channels
Confirm the children are receiving all required services, meeting regularly with the minors to ensure their wellbeing
Attend all case staffing discussions, training, and other meetings as part of the minor’s care team, providing status updates and collaborating with other stakeholders

Signs of Success or The Impact of Your Results

Successful communication, compliant documentation, successful interpretation, and timely reunifications within an effective turnaround time.

What we’re looking for

Requirements

Master’s degree in Psychology, Sociology, or other relevant Behavioral Science
2 to 5 years of demonstrated experience in case, unification management work
ORR experience preferred
Bilingual in English and Spanish
Available to work a flexible schedule, including nights and weekends
Available to travel, as required
Clean criminal background check
Child Abuse/ Neglect Report (CAN) or child protective services check with no adverse findings
Case Management Wellness Check, call center experience preferred
Other duties as assigned
This shift is from 1pm to 10pm (PST), It may be subjected to change based on need.

Key Skills

Ability to handle crisis intervention, conflict, confrontation, or other complex people situations with compassion and decisiveness
Experience working with traumatized/exploited minors and minors with behavioral problems
Knowledge of Microsoft Office (Word, Excel, Teams) required
Demonstrated ability to support a diverse group of clients, including refugees or other minority families
Aptitude to work cross-functionally with TPG personnel and social services agencies to deliver the highest quality of work under extreme pressure and in a fast-paced environment
Proven experience and high level of comfortability operating technology and learning new software applications quickly to complete required data entry tasks
Ability to work independently in the field and exercise a high level of confidentiality
Knowledge of state, community, and agency resources for victims of abuse preferred

Key Behaviors

A long-term view on people expressed through compassion and support
A passion to be involved in high-impact work that makes a difference
A drive for excellence and continual improvement

The Work Environment

Travel Requirements

You will be required to complete 2 weeks of training to include webinars and in-person sessions on-site (TDY)
The ability to travel is mandatory – All Case Manager/Unification Specialists are required to support a TDY assignment on-site for a minimum of 30-days
Additional travel assignments may be required based on project need, though program leadership will attempt to minimize travel by assigning tasks to those Case Manager/Unification Specialists who reside closest to the site where a support need exists
Tasks/assignments are dynamic and will change based on client needs and resource availability, meaning Case Managers/Unification Specialists are expected to provide additional administrative support, including the completion of data entry and intake paperwork, as required
Potential to support some home office work, based on project need and workload

Work Schedule

Due to the importance of this position, employees supporting this contract may be required to work extended hours including evening work, support on-call assignments, and work weekends to support time-sensitive or real-time complex services
This position is considered ESSENTIAL – Case Manager/Unification Specialists are required to report and work during emergencies or crises, including inclement weather, natural and man-made disasters, etc.

Physical Demands: To perform the essential functions of the job, qualified candidates must be able to perform the following: reaching, grasping, hearing/listening, seeing/observing, mobility to walk for extended periods, run, carry, load, and unload luggage. The position does require the ability to read written documentation from a computer screen throughout the workday, stand or walk on various surfaces for long periods, and drive vehicles, (alert/vigilant of surroundings) for extended periods.

As a Condition Of Employment You Must

Complete a rigorous culture and competency testing process, to include a language assessment test
Undergo a comprehensive criminal background check including fingerprint checks and state and local child protection agency registries
Complete a Drug Test
Be at least 21 years of age
Have the ability to obtain a Public Trust Clearance

For more information about the company please visit our website at https://www.theprovidenciagroup.com

Providencia is an Equal Opportunity Employer and does not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, disability or any other federal, state or local protected class."
Laboratory Admin,"CareDx, Inc.","Brisbane, CA",Remote,5 hours ago,Volunteer · Associate,"About the job
Laboratory Admin | CareDx | Brisbane, CA

CareDx is searching for a Laboratory Admin who will perform a variety of laboratory and administrative tasks to support the clinical laboratory staff in the CLIA-certified CareDx laboratory. They will work out of our brand-new laboratory space in Brisbane, CA.

The Laboratory Admin will perform their duties under direct and constant supervision of a licensed CLS or the Clinical Laboratory Manager (CLM) and/or designee, who provides specific instruction regarding how tasks are to be completed and defines the steps to be employed.

Primary responsibilities include:

Assist with shipping and receiving of both incoming and outgoing patient specimens and supplies working with third party vendors and cross-functional teams
Work with our Client Services team to resolve missing information cases, data discrepancies and any other issues related to sample processing within the lab using platforms including Jira and Salesforce
Thorough review of new orders for accuracy, appropriateness of test selection, and missing information
Assist the Clinical Laboratory Scientist or Assistant in a laboratory setting
Perform data entry and own the maintenance of data and spreadsheets
Be seen as a subject matter expert for laboratory accessioning
Maintain confidentiality of personal health information (PHI).
Identify problems that may affect assigned duties, and following established protocols, correct problems or escalate to Clinical Laboratory Scientist, Clinical Laboratory Manager, or lab Director.

Basic Qualifications

HS Diploma or equivalent education/experience
1+ years’ experience working in biotech, life sciences, and/or healthcare or recent experience in an industry requiring strong and consistent attention to detail

Preferred Qualifications

Proficiency in Microsoft Office suite of programs (Outlook, Word, Excel, PowerPoint, etc.)
Strong interpersonal skills & attention to detail
Ability to build and maintain effective working relationships with CareDx employees at all levels as well as customers and vendors
Previous laboratory experience, preferred
Ability to communicate effectively in English, verbally and in writing, within the work group

Our Company:

Headquartered in Brisbane, Calif., CareDx, Inc. is a leading precision medicine solutions company focused on the discovery, development, and commercialization of clinically differentiated, high-value healthcare solutions for transplant patients and caregivers. CareDx offers products, testing services, and digital healthcare solutions along the pre-and post-transplant patient journey, and is the leading provider of genomics-based information for transplant patients.

Every individual at CareDx has a direct impact on our collective mission to improve the lives of organ transplant patients worldwide. We believe in taking great care of our people, so they take even greater care of our patients.

Our competitive Total Rewards package includes:

Competitive base salary and incentive compensation
Health and welfare benefits including a gym reimbursement program
401(k) savings plan match
Employee Stock Purchase Plan
Pre-tax commuter benefits
And more!

In addition, we have a Living Donor Employee Recovery Policy that allows up to 30 days of paid leave annually to a full-time employee who makes the selfless act of donating an organ or bone marrow.

With products that are making a difference in the lives of transplant patients today and a promising pipeline for the future, it’s an exciting time to be part of the CareDx team. Join us in partnering with transplant patients to transform our future together.

CareDx, Inc. is an Equal Opportunity Employer and participates in the E-Verify program.

We do not accept resumes from headhunters, placement agencies, or other suppliers that have not signed a formal agreement with us."
NPD Engineer,Howmet Aerospace,"Carson, CA",On-site,1 week ago,$15.50/hr (from job description) · Part-time · Entry level,"About the job
About Us

About Howmet Aerospace

Howmet Aerospace Inc. (NYSE: HWM), headquartered in Pittsburgh, Pennsylvania, is a leading global provider of advanced engineered solutions for the aerospace and transportation industries. The Company’s sales for 2021 approximated $5 billion. The Company’s primary businesses focus on jet engine components, aerospace fastening systems, titanium structural parts and forged wheels. With nearly 1,150 granted and pending patents, the Company’s differentiated technologies promote more fuel efficiency for aircraft and commercial transportation. For more information, visit www.howmet.com , including content shared during the Company’s May 2022 Technology Day.

Follow: LinkedIn , Twitter , Instagram , Facebook , and YouTube .

Howmet is proud to be an Equal Employment Opportunity and Affirmative Action employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.

We do not discriminate based upon race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.

If you need assistance to complete your application due to a disability, please email TalentAcquisitionCoE_Howmet@howmet.com

Responsibilities

Design Engineer, New Production Development (Entry Level)

This is an opportunity to grow your career at a large, international aerospace company. The position includes competitive wages and a comprehensive benefits package, including health insurance (medical, dental, vision), a 401(k)-matching program, and paid holidays and vacation.

Howmet Aerospace , headquartered in Pittsburgh, Pennsylvania, is a leading global provider of advanced engineered solutions for the aerospace and transportation industries. The Company’s primary businesses focus on jet engine components, aerospace fastening systems and titanium structural parts necessary for mission-critical performance and efficiency in aerospace and defense applications, as well as forged wheels for commercial transportation. Howmet Aerospace is transforming the next phase of more fuel-efficient, quieter aerospace engines and sustainable ground transportation. For more information, visit www.howmet.com . Follow @howmet: Twitter , Instagram , Facebook , LinkedIn and YouTube .

Essential Functions

Responsible for designing and developing new products for aerospace industry.

Key Responsibilities
Designs and develops new products and product families reducing global requirement to conceptual designs then detailed designs.
Analyzes research data, prior art and relevant specifications to define the design space.
Confers with research personnel to clarify or resolve problems and validate design.
Participates in the preparation of invention reports and preparation of other documentation required to file and prosecute patents.
Prepares or coordinates preparation of product or system layout and detailed drawings.
Coordinates building of prototype product.
Plans and develops experimental test programs, coordinates test programs.
Analyzes test data and reports to determine if design meets functional and performance specifications.
Uses computer assisted engineering and design software and equipment to design product and simulate performance.
Works under the direction of a Sr. Engineer or Engineering Manager to manage new product development projects from concept development to design/product definition, verification and validation.
Additional Skills And Abilities
Adaptability – Adapts to changes in the work environment; Manages competing demands; Changes approach or method to best fit the situation; Able to deal with frequent change, delays, or unexpected events.
Team Work – Balances team and individual responsibilities; Exhibits objectivity and openness to others' views; Gives and welcomes feedback; Contributes to building a positive team spirit; Puts success of team above own interests.
Oral Communication – Speaks clearly and persuasively in positive or negative situations; listens intently to others and seeks clarification; Provides clear and pleasant responses to inquiries regardless of the situation.
Benefits/Salary

The position includes competitive wages and a comprehensive benefits package, including health insurance (medical, dental, vision), excellent 401k matching program, paid holidays and vacation. The salary range for this position is $67,000 to $100,000

Qualifications

Qualifications

Basic Qualifications
Pursuing Masters of Science degree (MS) in Mechanical Engineering, Design Engineering, or a related technical discipline graduating in spring 2023 or winter of 2023.
Employees must be legally authorized to work in the United States. Verification of employment. eligibility will be required at the time of hire. Visa sponsorship is not available for this position;
This position is subject to the International Traffic in Arms Regulation (ITAR), which requires U.S. person status. ITAR defines U.S. person as an U.S. Citizen, U.S. Permanent Resident (i.e. Green Card Holder), Political Asylee, or Refugee.
Preferred Qualifications
PhD in Mechanical Engineering, Design Engineering, or a related technical discipline."
Licensed Therapist,Vida Health,"Oklahoma City, OK",On-site,2 weeks ago,Full-time · Entry level,"About the job
About Us

At Vida, we help people get better — and we’re helping the healthcare system get better, too.

Vida provides expert, personalized, on-demand health coaching and programs through a network of experienced health care providers — like dietitians, therapists, and health coaches and leading medical institutions — coupled with an easy-to-use app with award-winning content.

We focus on chronic conditions — like diabetes, depression, and hypertension — which account for 80% of the $3 trillion spent on healthcare in the US.

By combining advanced technology with the top-notch healthcare providers, Vida is breaking down the barriers that have historically kept people from getting the best care. Vida’s cloud-based platform captures real-time data from 100+ devices and apps and delivers AI-driven insights back to employers, health plans, and providers to improve care. We are trusted by Fortune 1000 companies, major national payers, and large providers to enable their employees to live their healthiest lives.

**Vida is authorized to do business in many, but not all, states. If you are not located in or able to work from a state where Vida is registered, you will not be eligible for employment. Please speak with your recruiter to learn more about where Vida is registered.

Vida Therapist works virtually with a range of members to help support impactful, lasting behavior change to increase health and wellness. In addition, you will work within Vida’s guidelines, Scope of Practice, HIPAA, PHI, Industry Standards, Federal, State and Local Law to ensure that safety, quality, and compliance expectations are met.

Vida Therapists are professional experts in mental health who are fully licensed to screen, diagnose and treat mental health conditions. They support members by providing evidence-based psychotherapy.

Core Responsibilities And Duties
Manage a panel of clients providing evidence-based assessment, treatment plans and therapeutic interventions, meeting or exceeding completed consult expectations as outlined in Vidapedia
Configure Vida Coach calendar to allow clients to schedule, and maintain regular contact with them using Vida’s in-app video calls and messaging, per Vida’s program design and policies. Respond and communicate with clients according to timeline expectations laid out in Vida policies
Develop and update clinical treatment plans in collaboration with members
Utilize Vida’s integrated Cognitive Behavioral Therapy content to provide psychoeducation on CBT skills, including but not limited to, thought logging, cognitive restructuring/reframing and behavioral activation
Diligently track your clients’ progress and serve as an accountability partner
Set goals/trackers/habits in the Vida app to encourage member accountability and facilitate daily reminders that help them achieve their goals
Engage in discharge planning upon conclusion of therapy program by providing case management services, external referrals and coordination with other providers
Respond to crisis situations by following established protocols and developing safety plans with clients. Additionally, continually assessing for program eligibility and providing referrals, when needed, for follow-up intervention services
Effectively communicate with Lead to address client concerns, limitations, treatment progress and other concerns. Report any concerns regarding clinical performance and inability to meet expectations to Lead immediately
Collaborate with other Vida providers to apply an integrated care model to client treatment plans to enhance progress and treatment outcomes
Maintain records of interactions with clients in keeping with legal standards and adhere to Vida policy re: documentation
Submit documentation within 24 hours of any session (this includes session documentation, clinical treatment plans, communication with other providers). Additionally, submit documentation within 24 hours related to any cancellation or no show by provider or member
Comply with National Standards of Care set forth by state licensing boards where therapist is licensed
Comply with federal, state and HIPAA regulations, as it relates to medical records and information privacy
Attend and actively participate in 1:1 meetings with Lead and staff meetings. Respond to communications and requests from Lead in a reasonable and professional time frame
Complete all in-service trainings in a timely manner
Review and follow department policies and procedures as detailed in provider manual documents (Vidapedia)
Meet and exceed provider level metrics
Serve in the role of Care Navigator when assigned to provide short-term mental health consultation services to members in the form of screening assessments, crisis follow-up, resource referral
Provide after hours and on-call coverage, as needed
Qualifications
Doctoral or Master’s degree in psychology, clinical social work, counseling, marriage and family therapy or other relevant field
Fully Independent State License to practice psychotherapy in good standing. Licensed to assess, diagnose, create treatment plans and provide psychotherapy without oversight of a clinical supervisor. Multi-state licensure is highly valued.
Experience in cognitive behavior therapy and other evidence-based therapeutic models
Experience in mindfulness techniques
Interest in incorporating technology solutions into client care
Interest in and knowledge of current research and evidence-based clinical practices for depression and anxiety
Familiarity with technology solutions including video therapy, mobile apps, cloud-based apps (Google Suite, Single Sign-On, Slack)
Experience working in a virtual telehealth environment
2+ years’ experience as a fully independent psychotherapist
Working knowledge of clinical diagnosis and treatment planning. Knowledge of techniques such as motivational interviewing, bio-psychosocial assessment, mental health crisis response, safety planning and cognitive behavioral theory
Other Requirements
Providers will be expected to perform according to Vida's QA and Compliance guidelines in order to provide a safe and consistent experience for Vida members
Include specific language re: California residents who currently require individual monthly sign-off prior to each screening monthly
Exclusion screening is the process of verifying that a current or potential employee is not classified as an excluded individual who is prohibited from participation in any Federal healthcare program. The OIG imposes exclusions under the authority of sections 1128 and 1156 of the Social Security Act
Providers will be expected to perform according to Vida's QA and Compliance guidelines in order to provide a safe and consistent experience for Vida members
Providers will be expected to document on Vida's provider platform/technology completing prestructured template in addition to free text areas - i.e. text expander
Vida reserves the right to reassign clients at any point and limit the termination period to meet the best practices
Limit scope of practice to Vida curriculum
Vida is proud to be an Equal Employment Opportunity and Affirmative Action employer.

Diversity is more than a commitment at Vida—it is the foundation of what we do. All qualified applicants will receive consideration for employment without regard to race, color, ancestry, religion, gender, gender identity or expression, sexual orientation, marital status, national origin, genetics, disability, age, or Veteran status. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.

We seek to recruit, develop and retain the most talented people from a diverse candidate pool. We don’t just accept differences — we celebrate them, we support them, and we thrive on them for the benefit of our employees, our platform and those we serve. Vida is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures.

We do not accept unsolicited assistance from any headhunters or recruitment firms for any of our job openings. All resumes or profiles submitted by search firms to any employee at Vida in any form without a valid, signed search agreement in place for the specific position will be deemed the sole property of Vida. No fee will be paid in the event the candidate is hired by Vida as a result of the unsolicited referral."
Maintenance Officer - Chiswick Manor Care Community,Opal Healthcare,"Eastern, WV",Remote,2 weeks ago,Full-time · Mid-Senior level,"About the job
At Opal HealthCare, we know that companies don’t succeed, people do.

Benefits

In joining Opal, you will have access to a range of benefits including

We work to provide opportunities for a rewarding and meaningful career, and we are always living and breathing our purpose to bring joy to those we care for.
Work/life balance – Monday to Friday role with day time hours – no weekends!
Career Progression and Development Pathways – we have developed a number of internal leadership courses, as well as mapped pathways to leadership and management roles across all of Opal!
Ongoing growth and learning – gain access to the Opal Healthcare Academy and Opal Scholarships for further study – you could be offered a package valued at up to $15,000 over a period of 3 years to elevate your career!
Employee Referral Program – earn bonuses for inviting your friends to work with us, with no limit on the number of referrals you can make!
Employee Assistance Program – available to all team members through our provider – Lifeworks, for when you need extra support!
91 locations across Australia – we are one of Australia’s largest Residential Aged Care Providers and operate in 4 states. If you need to relocate or wish to transfer between Care Communities for career progression, we can support you!
Role Responsibilities And Requirements
Previous experience in a facilities or accommodation setting
Trade Qualifications in Construction/Electrical/Plumbing desirable, not essential
Building and equipment maintenance on an ongoing basis
Liaison with external contractors where required
Lawn and garden maintenance as required
Management of Fire Safety & Evacuation Procedures
Please note all applicants must be willing to complete a pre-employment medical, police clearance and NDIS worker’s clearance."
Travel Therapy - Physical Therapy Assistant,Pioneer Healthcare Services,"Cheraw, SC",On-site,2 weeks ago,Mid-Senior level,"About the job
Pioneer Healthcare is seeking a travel Physical Therapy Assistant for a travel job in Cheraw, South Carolina.

Job Description & Requirements

Specialty: Physical Therapy Assistant
Discipline: Therapy
Start Date: 05/26/2023
Duration: 13 weeks
40 hours per week
Shift: 8 hours
Employment Type: Travel

Pioneer Healthcare Services is currently seeking a Physical Therapy Assistant for a 6 week contract in Cheraw, SC. We are seeking a Physical Therapy Assistant with the skills to blaze a new trail in providing superior patient care. Physical Therapy Assistants who work for Pioneer Healthcare Services are dedicated professionals who conduct rehab programs amongst diverse populations and are enthusiastic about the difference they make in their patients lives through assessment and treatment.

The ideal applicant will have a minimum of 1 year experience.

About Pioneer Healthcare Services

At Pioneer Healthcare Services you will experience the pride, support, and respect that has been repeatedly recognized by our amazing Travelers. We are seeking travelers who share the same love for working with patients. We believe in working together to make a difference, in celebrating our shared success.

We Offer

Benefits: Medical, Dental and Vision
401K
Housing, Meals and Incidentals allowance
Highest pay packages in the industry to fit your needs
License Reimbursements available upon request
Travel Reimbursements available upon request
Relocation Assistance
Weekly pay
Professional Liability / Malpractice coverage

Pioneer Healthcare Job ID #201692. Pay package is based on 8 hour shifts and 40 hours per week (subject to confirmation) with tax-free stipend amount to be determined. Posted job title: Rehabilitation Physical Therapy Assistant"
